time,geo,kpi_orders,kpi_revenue,revenue_per_kpi,population,paid_search_impressions,paid_search_spend,shopping_impressions,shopping_spend,paid_social_impressions,paid_social_spend,organic_sessions,consumer_sentiment_index,competitor_discount_index,music_center_promo
2024-01-01,CA,1193,336216.62,281.82,39000000,373976,2706.11,173541,1249.49,230230,2604.63,9755,101.103,0.1646,1
2024-01-01,TX,967,280539.17,290.11,30500000,329769,2365.58,154784,1114.45,225728,2553.44,7889,100.476,0.1551,1
2024-01-01,FL,851,245403.82,288.37,22900000,247204,1806.69,125078,900.56,185042,2103.22,6726,99.759,0.1524,1
2024-01-01,NY,937,272966.38,291.32,19600000,281849,2015.3,131671,948.03,204039,2306.42,7072,100.854,0.168,1
2024-01-08,CA,1018,303496.39,298.13,39000000,330024,2369.86,164865,1187.02,238258,2690.84,9394,100.892,0.1708,0
2024-01-08,TX,794,224462.97,282.7,30500000,290239,2151.74,144853,1042.94,215368,2445.85,8207,100.807,0.1506,0
2024-01-08,FL,721,207271.84,287.48,22900000,231149,1679.18,138213,995.13,184549,2087.77,6899,100.663,0.1507,0
2024-01-08,NY,790,229733.92,290.8,19600000,266236,1919.03,126200,908.64,195141,2212.85,7129,100.61,0.1798,0
2024-01-15,CA,984,290912.79,295.64,39000000,336065,2459.49,169038,1217.07,235149,2666.66,9541,100.772,0.1531,0
2024-01-15,TX,832,239216.32,287.52,30500000,302553,2229.0,144626,1041.31,200192,2277.61,7497,100.999,0.1502,0
2024-01-15,FL,758,215988.64,284.95,22900000,234411,1697.3,116839,841.24,169470,1907.68,6246,99.617,0.1564,0
2024-01-15,NY,744,221288.22,297.43,19600000,278499,2013.8,123703,890.66,175115,1980.9,7354,99.7,0.15,0
2024-01-22,CA,1016,298280.45,293.58,39000000,354411,2563.96,182560,1314.43,233066,2642.55,9991,101.203,0.1331,0
2024-01-22,TX,877,255099.46,290.88,30500000,296238,2137.82,164467,1184.16,207475,2354.15,7685,100.904,0.1263,0
2024-01-22,FL,796,228245.28,286.74,22900000,247201,1825.83,116240,836.93,166496,1878.49,6816,100.072,0.156,0
2024-01-22,NY,741,221589.43,299.04,19600000,253942,1861.18,118426,852.67,183821,2091.11,7346,100.321,0.1591,0
2024-01-29,CA,1071,323970.54,302.49,39000000,355456,2562.95,202719,1459.58,255115,2893.06,9127,101.79,0.1432,0
2024-01-29,TX,890,268308.48,301.47,30500000,313818,2266.14,169731,1222.06,210770,2398.58,7577,100.484,0.1156,0
2024-01-29,FL,783,231865.86,296.12,22900000,256404,1896.13,133991,964.73,166546,1898.85,6391,102.128,0.1474,0
2024-01-29,NY,747,222338.7,297.64,19600000,261481,1932.96,119047,857.14,201817,2272.0,7049,100.146,0.1359,0
2024-02-05,CA,989,299285.7,302.61,39000000,338499,2460.96,199980,1439.86,270266,3048.65,9357,102.455,0.1331,0
2024-02-05,TX,923,267017.86,289.29,30500000,308709,2206.94,148270,1067.54,191844,2166.69,7965,101.741,0.1257,0
2024-02-05,FL,754,215414.47,285.7,22900000,257053,1877.07,116215,836.75,173214,1952.52,6409,101.354,0.1244,0
2024-02-05,NY,770,220952.74,286.95,19600000,249454,1823.44,137448,989.62,199238,2256.94,6770,100.909,0.1293,0
2024-02-12,CA,1070,309371.33,289.13,39000000,379042,2754.95,177964,1281.34,247635,2804.65,9692,102.518,0.1006,0
2024-02-12,TX,908,273313.96,301.01,30500000,329793,2384.39,163581,1177.78,230195,2587.74,7681,101.742,0.1279,0
2024-02-12,FL,745,212866.71,285.73,22900000,255529,1817.5,129410,931.75,168284,1905.05,6745,100.665,0.1112,0
2024-02-12,NY,814,234609.31,288.22,19600000,259546,1863.26,152846,1100.49,168150,1904.24,7388,101.94,0.1077,0
2024-02-19,CA,1143,332316.17,290.74,39000000,366073,2631.95,175628,1264.52,282448,3195.78,10385,102.094,0.1007,0
2024-02-19,TX,923,280296.5,303.68,30500000,321302,2333.71,163881,1179.94,223877,2524.2,8194,102.735,0.1077,0
2024-02-19,FL,782,223843.2,286.24,22900000,262521,1896.14,122442,881.58,175354,1990.06,7129,102.104,0.1055,0
2024-02-19,NY,794,240138.8,302.44,19600000,250655,1816.7,141745,1020.56,200844,2261.57,7203,101.411,0.0955,0
2024-02-26,CA,1002,289477.16,288.9,39000000,370190,2722.58,183308,1319.82,261426,2945.01,10356,102.036,0.0808,0
2024-02-26,TX,919,265633.23,289.05,30500000,314019,2269.86,150504,1083.63,225209,2538.6,8577,101.562,0.0919,0
2024-02-26,FL,758,225742.3,297.81,22900000,278397,2041.77,141753,1020.62,172881,1959.99,6722,101.242,0.0755,0
2024-02-26,NY,832,242850.55,291.89,19600000,282563,2026.3,147701,1063.45,188208,2123.46,7434,102.468,0.0702,0
2024-03-04,CA,1113,331469.21,297.82,39000000,371103,2664.42,183583,1321.8,272938,3078.64,9470,102.604,0.0693,0
2024-03-04,TX,935,281387.28,300.95,30500000,297498,2127.89,177943,1281.19,226253,2552.0,8403,103.193,0.0683,0
2024-03-04,FL,809,232614.17,287.53,22900000,286918,2073.92,127818,920.29,173049,1962.46,7489,103.021,0.0818,0
2024-03-04,NY,872,249736.2,286.39,19600000,293927,2146.65,133016,957.71,210021,2368.98,7176,101.388,0.0973,0
2024-03-11,CA,1106,324447.33,293.35,39000000,367444,2646.38,181910,1309.75,278238,3123.26,10444,102.799,0.0574,0
2024-03-11,TX,964,275782.45,286.08,30500000,315073,2322.3,164457,1184.09,226196,2557.17,8260,102.016,0.0661,0
2024-03-11,FL,826,239250.46,289.65,22900000,269461,1927.58,129353,931.34,182662,2065.32,6868,103.002,0.0623,0
2024-03-11,NY,788,225230.14,285.83,19600000,280499,2026.68,153016,1101.71,192401,2189.14,7466,101.138,0.0919,0
2024-03-18,CA,1140,328113.14,287.82,39000000,372429,2666.15,216007,1555.25,271054,3064.97,10195,102.503,0.0901,0
2024-03-18,TX,990,295551.76,298.54,30500000,351556,2556.3,173562,1249.65,212015,2407.71,8298,103.112,0.0525,0
2024-03-18,FL,775,223272.5,288.09,22900000,278900,2006.06,136738,984.51,189810,2145.35,6875,101.733,0.0899,0
2024-03-18,NY,860,246055.18,286.11,19600000,301471,2206.91,142739,1027.72,193130,2172.46,7661,102.792,0.09,0
2024-03-25,CA,1130,330563.57,292.53,39000000,396847,2872.85,203954,1468.47,273021,3093.58,9446,103.171,0.0813,0
2024-03-25,TX,958,274167.03,286.19,30500000,312968,2295.06,168409,1212.54,237719,2687.5,8206,102.886,0.0739,0
2024-03-25,FL,775,222471.3,287.06,22900000,255003,1853.12,146028,1051.4,201326,2280.4,7526,103.087,0.0867,0
2024-03-25,NY,836,237335.15,283.89,19600000,306554,2233.5,140480,1011.46,193797,2184.99,7729,101.998,0.0591,0
2024-04-01,CA,1377,385946.8,280.28,39000000,439566,3165.11,228089,1642.24,284505,3200.09,11631,101.509,0.0551,1
2024-04-01,TX,1160,333057.46,287.12,30500000,331507,2417.13,192541,1386.29,236819,2673.8,9356,102.73,0.0555,1
2024-04-01,FL,941,277511.6,294.91,22900000,285435,2058.22,152088,1095.03,220015,2487.74,7640,102.248,0.0669,1
2024-04-01,NY,1016,292797.26,288.19,19600000,329135,2374.46,175138,1260.99,223025,2526.62,8266,102.021,0.0692,1
2024-04-08,CA,1163,330879.7,284.51,39000000,389817,2819.55,205795,1481.72,293587,3323.12,10227,102.07,0.0776,0
2024-04-08,TX,883,251082.33,284.35,30500000,320114,2360.38,160631,1156.54,211823,2403.72,8300,102.124,0.0778,0
2024-04-08,FL,859,250854.49,292.03,22900000,249947,1828.2,143539,1033.48,204718,2310.11,7451,103.327,0.094,0
2024-04-08,NY,805,230969.47,286.92,19600000,296278,2159.17,151914,1093.78,177809,2014.89,7100,103.238,0.0768,0
2024-04-15,CA,1131,314570.69,278.14,39000000,352069,2534.97,186153,1340.3,250004,2842.23,10406,102.425,0.1018,0
